CPU(J),RAM(J),%CPU,RAM(kB)
3.85,0.46,100,777276
3.86,0.48,100,778952
3.87,0.46,100,778372
3.91,0.47,100.1,781104
3.81,0.45,100,780460
3.72,0.52,100,767000
3.85,0.48,100,770148
3.64,0.50,98,764360
3.64,0.45,100,765064
3.64,0.54,100,769036
3.60,0.57,100,764804
3.60,0.49,99.9,765364
3.65,0.46,100,763060
3.70,0.47,100,763072
3.62,0.48,100,760916
3.60,0.48,100,761988
3.57,0.53,100,761376
3.63,0.47,100,760776
3.58,0.60,99.3,761876
3.67,0.60,100.1,749924
3.56,0.55,100,742064
3.54,0.57,99.3,727804
3.61,0.46,100,727796
3.48,0.43,100,732248
3.42,0.40,99.9,731244
3.42,0.41,100,732568
3.46,0.40,100,732840
3.44,0.42,100,734444
3.43,0.45,100,733408
3.44,0.41,100,733240
3.50,0.46,99.9,722956
3.49,0.42,100,728636
3.45,0.53,100,723120
3.43,0.49,100,707680
3.50,0.55,100.1,700104
3.47,0.43,100,695696
3.43,0.49,99.9,691004
3.47,0.43,99.9,664796
3.41,0.48,100.1,671428
3.37,0.64,100,693240
3.38,0.45,100.1,693516
3.44,0.43,99.9,696028
3.45,0.45,99.9,700920
3.52,0.42,100.1,701996
3.45,0.40,99.9,701264
3.47,0.41,100,702704
3.47,0.40,100,701616
3.51,0.47,100,700708
3.51,0.46,99.9,704744
3.56,0.41,100,704188
3.71,0.40,100,703312
3.54,0.39,100,704124
3.65,0.40,99.9,704220
3.54,0.42,100,702904
3.57,0.39,100,702692
3.56,0.41,100,701536
3.63,0.40,100,701444
3.57,0.39,100,700796
3.62,0.51,100,704980
3.61,0.43,100,705384
3.61,0.42,100,704868
3.66,0.39,100,703516
3.63,0.40,100,703316
3.65,0.40,100,702352
3.71,0.41,100,703372
3.82,0.45,100,702476
3.78,0.43,100,701636
3.77,0.47,100,701104
3.82,0.43,100,695436
3.87,0.44,100,699124
3.78,0.45,100,694080
3.91,0.46,100,690200
3.68,0.43,100.1,687528
3.54,0.54,100.1,687856
3.52,0.54,100,688268
3.59,0.54,100.1,687876
3.56,0.57,100,684172
3.69,0.45,100,683000
3.62,0.45,100,682672
3.64,0.46,99.9,680556
3.63,0.44,100,679104
3.71,0.46,100,679068
3.67,0.45,100,681996
3.69,0.44,100,679644
3.68,0.45,100,688276
3.67,0.44,100,689244
3.60,0.48,100,688320
3.63,0.60,100,686028
3.78,0.46,88.5,684368
3.64,0.42,99.9,683996
3.71,0.42,100,682436
3.52,0.63,100,685624
3.68,0.45,100,682580
3.64,0.46,99.9,681948
3.58,0.49,100,681864
3.55,0.41,100,713616
3.50,0.39,100,711244
3.62,0.39,100,711072
3.48,0.42,100,708512
3.58,0.44,100.1,702824
3.53,0.42,99.9,697372
3.55,0.41,100,696052
3.50,0.39,100,695648
3.49,0.41,100,693804
3.50,0.53,100,680644
3.53,0.43,100,688548
3.51,0.48,100,686320
3.65,0.41,100,685108
3.53,0.39,100,678936
3.54,0.40,97.9,669872
3.54,0.51,99.9,656312
3.47,0.51,100,643252
3.43,0.56,100,670244
3.48,0.55,100,682148
3.53,0.58,100,677916
3.51,0.56,99.3,676292
3.52,0.57,99.9,657024
3.57,0.56,100,665076
3.54,0.56,99.3,661052
3.46,0.65,100,656372
3.51,0.59,100.1,638348
3.51,0.57,99.4,648764
3.50,0.59,100,633532
3.60,0.61,100,636800
3.58,0.57,100,629268
3.54,0.59,99.9,581024
3.61,0.72,100,527804
3.54,0.46,100,530272
3.53,0.42,100,514000
3.62,0.67,100,560904
3.68,0.63,100.1,617820
3.58,0.60,99.9,606424
3.60,0.55,100,601008
3.72,0.59,100,596120
3.63,0.58,99.3,595580
3.58,0.56,100,572180
3.56,0.57,100,576996
3.56,0.57,100,601052
3.63,0.59,100,641128
3.61,0.56,100,654232
3.60,0.61,100,646480
3.62,0.57,99.3,630432
3.68,0.59,99.9,611660
3.81,0.58,99.3,607544
3.58,0.56,99.3,582212
3.55,0.65,98.6,577928
3.56,0.61,100,640552
3.57,0.58,99.9,637260
3.55,0.61,100,618036
3.60,0.57,100.1,618248
3.56,0.57,100,616544
3.55,0.57,97.3,613256
3.57,0.56,100,599188
3.57,0.56,100,597652
3.60,0.57,100.1,672508
3.65,0.53,100,664580
3.59,0.60,100,603388
3.62,0.61,99.9,589552
3.64,0.58,100,586216
3.68,0.60,100,591360
3.53,0.60,100,588848
3.55,0.58,100,588688
3.76,0.61,100,602672
3.53,0.65,100,585728
3.61,0.58,100,592420
3.55,0.59,100,574972
3.56,0.56,100,625376
3.59,0.58,100,627872
3.55,0.63,100,628336
3.54,0.58,100,627560
3.58,0.61,100,627140
3.66,0.62,99.3,644808
3.53,0.61,99.9,672148
3.58,0.57,98.4,643836
3.55,0.58,99.9,644464
3.63,0.61,100,593476
3.58,0.62,100,537036
3.53,0.60,99.2,546584
3.59,0.57,100,536264
3.64,0.57,99.9,536752
3.52,0.60,100,527972
3.57,0.65,100,683852
3.56,0.61,100,590972
3.63,0.62,100,615572
3.54,0.62,99.9,617140
3.80,0.60,100.1,629744
3.61,0.54,100,627204
3.56,0.54,100,627012
3.60,0.56,99.3,633176
3.57,0.55,100,637652
3.70,0.61,100,616760
3.57,0.54,100,615108
3.55,0.53,100,616528
3.66,0.60,98.6,631128
3.56,0.54,100,617056
3.58,0.54,99.3,617932
3.63,0.55,100,617216
3.54,0.56,100,621252
3.53,0.53,100,621292
3.57,0.57,100,600644
3.60,0.55,99.3,598652
3.57,0.54,100,596372
3.72,0.65,98.6,636952
3.50,0.66,99.9,648744
3.55,0.60,100.1,650168
3.48,0.59,100,644676
3.57,0.62,99.4,688036
3.66,0.59,99.9,690788
3.56,0.57,100,689684
3.57,0.58,99.3,691012
3.51,0.56,100,690268
3.54,0.54,100,689740
3.66,0.56,100,689276
3.55,0.54,100,697556
3.58,0.54,100,696200
3.57,0.57,100,697364
3.60,0.57,100,694824
3.67,0.54,100,695864
3.61,0.56,100,696716
3.60,0.55,100.1,692500
3.57,0.54,100,697792
3.55,0.55,100,685740
3.54,0.58,100.1,665588
3.58,0.57,100,664664
3.55,0.58,98.7,662508
3.56,0.59,100,631480
3.56,0.55,100,631260
3.59,0.55,100,629576
3.56,0.57,100.1,618772
3.55,0.58,100,618380
3.54,0.61,100,600804
3.60,0.56,99.9,600768
3.60,0.55,100,602504
3.66,0.60,100,650300
3.55,0.56,100,638772
3.68,0.57,100,638848
3.64,0.55,99.9,638472
3.61,0.57,100.1,638140
3.53,0.59,100,632944
3.55,0.58,100,631728
3.60,0.57,99.9,630432
3.57,0.59,100,652224
3.55,0.56,99.9,651008
3.60,0.56,100,649388
3.58,0.56,100,659268
3.59,0.57,100,672160
3.56,0.54,100,675172
3.56,0.57,100,681228
3.55,0.56,100,680492
3.56,0.56,100,698848
3.61,0.59,99.9,679040
3.55,0.57,100,677980
3.58,0.56,100,677668
3.54,0.59,100,720588
3.56,0.57,100,722108
3.65,0.57,100,686360
3.61,0.56,99.9,685044
3.68,0.59,100,685148
3.54,0.57,100,683332
3.58,0.57,100,681100
3.59,0.58,100,679232
3.53,0.59,100,677600
3.67,0.57,100,681920
3.78,0.60,100.1,684148
3.57,0.55,100,682388
3.64,0.59,100,684532
3.55,0.57,99.9,675824
3.53,0.65,100,650416
3.54,0.69,100,642192
3.48,0.70,99.9,633780
3.43,0.67,100,645716
3.48,0.70,100.1,647372
3.48,0.57,99.9,712128
3.52,0.56,100,707504
3.60,0.53,100,705040
3.45,0.54,100,706852
3.44,0.54,100,724984
3.60,0.54,100,733240
3.51,0.52,100,734188
3.50,0.44,99.9,731168
3.60,0.43,100,747240
3.64,0.42,100,751420
3.45,0.44,100,789672
3.49,0.41,100,798056
3.51,0.39,99.9,801388
3.51,0.39,100,799944
3.48,0.42,100,802828
3.61,0.40,100,804592
3.51,0.40,100,793436
3.51,0.42,100,801888
3.51,0.40,100,793172
3.59,0.44,100,783908
3.47,0.41,100.1,783740
3.45,0.45,100,775028
3.52,0.42,100,774488
3.56,0.54,100,771136
3.48,0.43,100,753036
3.48,0.54,100,740364
3.55,0.51,100,738976
3.51,0.52,100,741332
3.59,0.50,100,737624
3.53,0.51,99.9,762824
3.53,0.51,100,762584
3.51,0.55,100,764796
3.56,0.55,99.3,765872
3.52,0.50,100.1,767012
3.48,0.52,100,768660
3.53,0.52,99.9,766808
3.56,0.40,100.1,766824
3.55,0.42,100,763144
3.55,0.41,99.9,763972
3.62,0.41,100,765352
3.59,0.39,100,763544
3.60,0.41,100,765864
3.56,0.50,100,765280
3.56,0.41,100,763684
3.58,0.44,100,760972
3.59,0.43,100,760676
3.59,0.44,99.9,759908
3.63,0.45,100,755632
3.59,0.47,100,750184
3.68,0.48,100,743784
3.71,0.49,100,753512
3.88,0.45,99.9,757128
3.76,0.45,100.1,760024
3.82,0.46,100,747464
3.86,0.47,100,768120
3.82,0.47,100,770752
3.95,0.50,100,779580
3.71,0.46,100,778836
3.78,0.44,100,778464
3.63,0.43,100.1,776140
3.63,0.45,100,776380
3.64,0.45,100,771576
3.74,0.46,100,775724
3.63,0.46,100,774380
3.67,0.45,100,773652
3.77,0.46,100,773884
3.71,0.47,100,769940
3.62,0.45,100,768328
3.67,0.45,99.9,765420
3.63,0.45,100,767284
3.62,0.45,100,768272
3.64,0.42,100,768412
3.66,0.47,100.1,766560
3.55,0.56,100,768620
3.73,0.46,99.9,762884
3.16,0.53,100,757020
3.68,0.42,100,756292
3.64,0.41,100,757940
3.59,0.44,100,755380
3.57,0.48,100,753892
3.56,0.43,100.1,752664
3.60,0.43,100,752328
3.49,0.44,99.9,751600
3.49,0.47,100.1,751588
3.60,0.41,100,750936
3.48,0.44,99.9,750548
3.48,0.43,99.9,750332
3.47,0.42,99.9,750084
3.58,0.46,100,749124
3.48,0.42,100,748440
3.52,0.40,100.1,749620
3.65,0.47,100,744296
3.54,0.44,100.1,755104
3.55,0.40,100,752444
3.49,0.39,100,752308
3.49,0.41,100,756856
3.53,0.42,100.1,754968
3.50,0.41,100,752736
3.58,0.43,99.2,750672
3.51,0.41,100,744928
3.50,0.40,100,744880
3.54,0.41,100,745164
3.65,0.42,100.1,746208
3.62,0.42,99.9,746208
3.58,0.49,100,747696
3.56,0.47,100,746188
3.53,0.40,99.9,746332
3.55,0.40,100,745256
3.52,0.41,99.9,744852
3.53,0.45,100,744012
3.61,0.43,100,743148
3.57,0.40,100,743492
3.60,0.41,99.9,739112
3.55,0.45,99.9,648308
3.57,0.42,100,629680
3.62,0.41,100,631880
3.73,0.43,100,631356
3.60,0.41,100,631680
3.58,0.44,99.9,782756
3.61,0.46,100,712628
3.52,0.54,100,737196
3.62,0.42,99.9,734608
3.81,0.43,100,730280
3.80,0.44,100,730264
3.88,0.44,99.9,732248
3.82,0.44,100,732132
3.76,0.47,100,731688
3.86,0.44,99.9,732808
3.63,0.44,100,732840
3.62,0.45,100,731108
3.62,0.44,100,732812
3.66,0.46,100,733716
3.64,0.44,100.1,739720
3.62,0.45,100,736816
3.61,0.48,100.1,737248
3.05,0.58,99.9,735992
3.63,0.44,100,737416
3.70,0.46,99.9,737708
3.64,0.43,99.3,733692
3.63,0.45,100,733336
3.64,0.50,100,728988
3.63,0.43,100,727504
3.62,0.46,100,727760
3.64,0.45,100,728488
3.66,0.45,100,724632
3.62,0.42,100,728952
3.81,0.43,100,730920
3.76,0.43,100,729360
3.63,0.42,100,726500
3.59,0.47,99.9,726968
3.67,0.46,99.9,725964
3.53,0.45,100,726556
3.58,0.42,100,724880
3.50,0.42,100.1,725344
3.46,0.45,99.9,724664
3.57,0.43,100.1,722884
3.54,0.40,100,723608
3.53,0.39,100,724124
3.55,0.41,100,721376
3.56,0.44,100,721128
3.52,0.40,99.9,720016
3.51,0.39,99.9,720504
3.52,0.40,100,716612
3.54,0.42,100,705336
3.62,0.54,100,713248
3.67,0.41,100,713884
3.47,0.41,100.1,713120
3.50,0.40,100,713476
3.57,0.48,100,709388
3.46,0.45,100,710008
3.60,0.41,100,708864
3.52,0.42,99.9,709140
3.56,0.42,100.1,711996
3.60,0.45,100,719184
3.53,0.40,100,717324
3.64,0.42,100,719580
3.54,0.45,100,719040
3.54,0.40,100,718200
3.54,0.38,100,718340
3.54,0.41,100,716376
3.65,0.40,100,716124
3.61,0.40,100,718744
3.66,0.42,100,717280
3.55,0.39,100,716400
3.51,0.45,100,716248
3.66,0.41,100,713452
3.58,0.42,100,713412
3.66,0.44,100,713576
3.65,0.38,100,714628
3.68,0.47,100,708816
3.66,0.43,100,708824
3.61,0.45,99.9,707408
3.68,0.46,100,700808
3.79,0.48,100,698788
3.81,0.51,100,696748
3.81,0.56,100,696180
3.84,0.58,100,688356
3.70,0.56,100,684116
3.69,0.57,100,682540
3.71,0.42,100,682708
3.64,0.55,100,679540
3.66,0.45,100.1,677204
3.60,0.49,99.9,669176
3.57,0.54,100,672508
2.97,0.62,99.9,645952
3.41,0.65,100,631812
3.54,0.56,100,645612
3.63,0.53,99.9,663028
3.61,0.47,100,654296
3.66,0.45,100,663500
3.64,0.41,100,662724
3.66,0.42,100,706852
3.64,0.43,100,705452
3.69,0.42,100,705932
3.64,0.42,100,714124
3.68,0.43,100,717012
3.69,0.41,100,715224
3.63,0.41,100,715252
3.80,0.46,100,713044
3.64,0.41,100,713372
3.62,0.44,100.1,715540
3.62,0.41,100,711268
3.54,0.56,100,714744
3.65,0.40,100,713968
3.61,0.42,100,711000
3.50,0.39,100,711488
3.51,0.39,100,710496
3.55,0.39,100,712080
3.51,0.39,100,713100
3.65,0.53,100,711780
3.52,0.41,100.1,703544
3.59,0.41,99.9,702560
3.50,0.41,100,701192
3.58,0.46,99.9,691860
3.49,0.42,99.2,691648
3.49,0.44,99.9,682260
3.52,0.45,99.9,677500
3.49,0.41,100,677072
3.53,0.47,100,673832
3.55,0.42,99.9,670964
3.55,0.40,100,669612
3.49,0.39,100,669572
3.58,0.41,100.1,666680
3.53,0.43,100,658180
3.57,0.43,100,654180
3.58,0.45,100,653792
3.48,0.51,100,646252
3.55,0.40,100,646532
3.53,0.50,99.9,641384
3.48,0.53,99.9,630812
3.50,0.54,100,615808
3.53,0.41,100,607028
3.56,0.39,100,608300
3.62,0.39,100,642416
3.60,0.38,100,642560
3.56,0.39,100,666228
3.54,0.38,100,667244
3.56,0.39,100,665876
3.57,0.41,100,668256
3.63,0.39,100,667452
3.61,0.39,100,667688
3.53,0.45,100,667296
3.69,0.43,100,668312
3.69,0.42,100,662636
3.75,0.41,99.9,661820
3.72,0.42,100,661620
3.79,0.44,100,660168
3.86,0.44,100,657996
3.86,0.43,100,659184
3.79,0.53,100,656776
3.80,0.43,100.1,658960
3.61,0.48,99.9,629384
3.49,0.66,100,590532
3.61,0.48,99.9,542548
3.67,0.49,100,542720
3.64,0.53,100,491456
3.61,0.48,100,482752
3.65,0.51,100,491864
3.64,0.45,100,490256
3.64,0.47,100.1,530812
3.63,0.43,100,525168
3.61,0.47,100,525988
3.60,0.57,100,629104
3.64,0.44,100,616872
3.64,0.51,99.3,627548
3.63,0.44,100,634096
3.63,0.54,100,627352
3.60,0.46,100.1,640160
3.64,0.42,100,633776
3.62,0.44,100,636116
3.61,0.45,100,634676
3.62,0.49,100,627864
3.51,0.58,100,621780
3.64,0.50,99.9,618924
3.51,0.55,100,602796
3.55,0.59,100,599052
3.67,0.44,99.9,648340
3.51,0.44,100,683648
3.51,0.41,100,682364
3.56,0.40,99.9,680556
3.51,0.41,100,681788
3.57,0.42,100,680096
3.57,0.43,100,748276
3.64,0.41,100,745876
3.69,0.41,100,745208
3.63,0.41,100,741760
3.64,0.41,100,742560
3.55,0.40,100,741140
3.58,0.47,100,740240
3.56,0.52,100,739760
3.52,0.46,100,739952
3.58,0.41,100,742596
3.51,0.39,99.9,740336
3.52,0.39,100,740612
3.49,0.45,100,742852
3.56,0.41,100,741720
3.57,0.41,100,741480
3.54,0.39,99.9,741472
3.52,0.41,100,749188
3.51,0.42,100,751616
3.51,0.43,100,788844
3.59,0.44,100.1,781668
3.53,0.42,100,785996
3.55,0.43,99.9,780788
3.52,0.43,100,776944
3.68,0.43,100,779892
3.53,0.41,100,777984
3.57,0.42,100,773924
3.55,0.48,100,686688
3.54,0.44,99.9,662520
3.58,0.43,100,663184
3.54,0.44,100,661408
3.54,0.47,99.9,818988
3.53,0.46,100.1,793516
3.54,0.47,99.9,768852
3.51,0.49,100,769744
3.62,0.40,99.3,768636
3.68,0.45,99.4,759556
3.72,0.46,100,759096
3.57,0.49,100,767668
3.89,0.45,100,763924
3.87,0.46,100,762236
3.78,0.47,100,756360
3.82,0.43,100,758840
3.83,0.48,100,760816
3.82,0.45,100,761588
3.65,0.44,100,759948
3.81,0.45,99.9,759320
3.62,0.45,100,759616
3.71,0.45,100,755804
3.66,0.44,100,755160
3.65,0.43,100,757260
3.64,0.44,99.9,759900
3.62,0.45,100,759204
3.62,0.45,99.9,757476
3.68,0.46,99.9,757020
3.78,0.46,100.1,758940
3.64,0.44,100,760104
3.75,0.45,100,757692
3.64,0.46,99.9,757188
3.63,0.45,100,756972
3.77,0.44,100,754856
3.64,0.42,100,748632
3.59,0.47,100.1,748888
3.62,0.42,100,748116
3.64,0.40,100,750176
3.72,0.41,100,749564
3.61,0.44,100,749548
3.55,0.42,99.9,748900
3.62,0.42,100,747952
3.52,0.40,100,747400
3.64,0.42,99.9,746704
3.58,0.41,100,746464
3.53,0.41,100,745716
3.53,0.46,100.1,745760
3.54,0.40,99.9,742496
3.48,0.47,100,740784
3.49,0.53,100,732996
3.52,0.39,100,731956
3.51,0.38,100,731296
3.52,0.43,100,737076
3.53,0.44,100,735924
3.52,0.42,100,723832
3.48,0.43,100.1,731544
3.49,0.42,99.9,728620
3.45,0.55,100,735136
3.51,0.54,99.3,733036
3.59,0.39,99.9,731624
3.65,0.42,100,731284
3.60,0.41,100,730620
3.62,0.42,100,732320
3.61,0.43,100,729808
3.53,0.43,100,729212
3.55,0.38,100,730692
3.57,0.42,100,758556
3.65,0.44,100,757352
3.60,0.42,100,755884
3.57,0.42,100,755796
3.55,0.39,100.1,755912
3.70,0.41,100,756984
3.50,0.54,100,756824
3.69,0.41,100,755672
3.66,0.41,99.9,754644
3.58,0.38,100.1,756692
3.57,0.38,100.1,755264
3.59,0.39,100,751588
3.70,0.39,100,750264
3.60,0.44,100,748984
3.61,0.44,92.9,748272
3.57,0.49,99.3,727324
3.55,0.57,100.1,726528
3.68,0.59,100.1,691440
3.66,0.62,100,707204
3.74,0.64,100,695340
2.74,0.60,99.9,707084
3.55,0.55,100,731680
3.62,0.48,99.3,728864
3.77,0.46,99.9,723696
3.62,0.46,99.9,725756
3.71,0.44,100,727016
3.67,0.45,100.1,729716
3.66,0.48,100,741576
3.63,0.45,100,741440
3.74,0.44,100,740304
3.65,0.43,100,740756
3.62,0.45,99.9,738480
3.64,0.43,100.1,738768
3.62,0.44,100,741208
3.68,0.43,100,739644
3.63,0.44,100,740192
3.68,0.44,100,739068
3.63,0.44,100,738432
3.63,0.43,100,738076
3.64,0.44,100,738456
3.63,0.43,100,737108
3.67,0.44,100,738220
3.67,0.40,100,737048
3.68,0.41,100,735644
3.62,0.43,99.9,738044
3.64,0.46,99.9,734908
3.63,0.43,99.9,732792
3.51,0.42,100,733128
3.50,0.40,100,732044
3.52,0.39,100,731056
3.58,0.40,100,731012
3.59,0.42,100,730464
3.61,0.41,100,730524
3.55,0.39,100.1,730188
3.55,0.39,99.9,729756
3.60,0.44,99.9,729228
3.53,0.49,100,728624
3.51,0.40,100,728096
3.64,0.41,100,726456
3.52,0.40,100,727584
3.66,0.41,100,728144
3.50,0.40,100.1,725400
3.50,0.40,100,724624
3.48,0.49,100,726544
3.58,0.42,100,725176
3.53,0.39,99.9,724464
3.52,0.40,100.1,723308
3.60,0.42,100,724408
3.53,0.39,100,724652
3.53,0.47,100.1,725184
3.66,0.42,100,726240
3.58,0.49,100,727300
3.55,0.42,100,726736
3.55,0.40,100,725848
3.54,0.40,100,724488
3.55,0.40,100,724112
3.68,0.43,100,723324
3.59,0.45,100,719036
3.53,0.43,99.9,720224
3.63,0.42,99.9,716372
3.58,0.46,100,707028
3.80,0.43,100,705052
3.58,0.44,100,702340
3.54,0.56,100,701196
3.60,0.40,100.1,695456
3.69,0.45,100,683568
3.61,0.41,100,682768
3.71,0.45,99.9,680908
3.64,0.42,99.9,676692
3.95,0.47,100,672932
3.77,0.55,100.1,667300
3.95,0.47,100,668572
3.80,0.44,100,670216
3.81,0.43,100.1,663908
3.63,0.44,100.1,662452
3.73,0.46,100,663728
3.64,0.44,100,658364
3.63,0.46,100,658116
3.61,0.47,100,652984
3.58,0.53,99.3,652664
3.67,0.44,99.9,653104
3.61,0.47,99.2,657236
3.59,0.60,99.9,655168
3.68,0.46,100,652896
3.68,0.43,99.9,652304
3.64,0.44,100,643480
3.74,0.47,99.9,651908
3.65,0.47,100,650864
3.68,0.48,100,669936
3.52,0.57,100,700008
3.64,0.44,100,701304
3.55,0.50,99.9,684592
3.57,0.51,100,682300
3.64,0.43,99.9,681664
3.66,0.49,100,675244
3.62,0.44,99.9,670636
3.59,0.50,99.3,672864
3.52,0.56,100,646292
3.62,0.44,99.9,674352
3.52,0.44,100,674204
3.50,0.46,100,738456
3.50,0.39,100,742460
3.53,0.39,100,741816
3.52,0.41,100,741532
3.50,0.49,100,737328
3.47,0.55,100,746596
3.58,0.44,100,743484
