CPU(J),RAM(J),%CPU,RAM(kB)
3.56,0.40,100,741792
3.58,0.41,100,743500
3.50,0.42,100,742496
3.50,0.42,99.9,748404
3.51,0.41,100,747796
3.53,0.40,100,746588
3.62,0.41,100,746188
3.51,0.41,100,744728
3.62,0.41,100,746984
3.50,0.40,100,746512
3.57,0.40,99.9,745996
3.52,0.41,99.9,746472
3.57,0.41,100,746124
3.55,0.40,100,746016
3.53,0.39,100,746576
3.60,0.40,100,745280
3.51,0.43,100,743136
3.57,0.48,99.9,737588
3.58,0.44,99.3,729028
3.58,0.42,100,724140
3.68,0.43,99.9,720328
3.60,0.48,99.2,655416
3.61,0.43,100,614544
3.51,0.55,100.1,617912
3.53,0.42,99.3,618940
3.54,0.42,100,617268
3.55,0.42,100,790584
3.68,0.44,100,711560
3.58,0.51,100,735828
3.50,0.47,100,741496
3.60,0.42,99.9,819196
3.62,0.43,99.9,848136
3.71,0.45,100,856112
3.64,0.39,100,848472
3.68,0.43,99.9,854924
3.73,0.48,100,862760
3.80,0.46,100,860148
3.75,0.53,99.9,846640
3.84,0.46,100,840060
3.83,0.44,100,847624
3.84,0.43,100,848948
3.63,0.44,100,848036
3.73,0.43,100,852176
3.63,0.42,100.1,850968
3.67,0.44,99.9,847920
3.72,0.62,100,847548
3.58,0.57,100.1,839604
3.70,0.50,100,837712
3.73,0.48,100,838456
3.62,0.46,100,837340
3.63,0.43,100,837620
3.64,0.42,99.9,837492
3.75,0.49,100,835476
3.68,0.43,100,837044
3.77,0.43,100,836136
3.74,0.45,100,834736
3.71,0.46,100,835324
3.76,0.44,100,834588
3.63,0.45,100,834568
3.62,0.42,99.9,832080
3.64,0.40,100,831668
3.57,0.53,98.6,828804
3.68,0.42,96.6,831128
3.63,0.41,79.4,831296
3.57,0.45,100,830636
3.51,0.43,100,834184
3.49,0.46,100,832160
3.55,0.52,100.1,832748
3.47,0.53,100,834704
3.52,0.40,100,838208
3.54,0.41,100,864196
3.61,0.40,100,878808
3.57,0.39,100,890352
3.54,0.40,100,890252
3.60,0.43,100,893868
3.51,0.39,100,897080
3.52,0.40,100,889924
3.58,0.42,100,883288
3.53,0.40,100,894304
3.53,0.43,99.9,893284
3.55,0.43,100,890104
3.50,0.44,100,890504
3.55,0.45,100,889616
3.50,0.42,100,884008
3.63,0.46,100,874580
3.52,0.43,100,873612
3.56,0.42,100,871536
3.60,0.42,100,875116
3.55,0.41,100,874560
3.56,0.48,100,871952
3.54,0.53,100,862660
3.57,0.49,100,847912
3.54,0.55,99.9,844680
3.46,0.61,100,824052
3.44,0.62,100,824204
3.59,0.56,99.9,836976
3.48,0.60,100,855708
3.54,0.46,100,846136
3.62,0.42,100,858436
3.54,0.48,100,851044
3.58,0.38,100,861892
3.60,0.42,100,862336
3.59,0.37,100,867128
3.64,0.38,99.9,867000
3.63,0.38,99.9,866092
3.60,0.49,99.9,865712
3.61,0.43,100,863940
3.75,0.43,100,875448
3.74,0.43,100,874928
3.88,0.44,99.9,875308
3.87,0.47,100,879228
3.72,0.52,100,884232
3.81,0.44,100,892604
3.62,0.45,100,901896
3.74,0.45,100,912668
3.71,0.45,99.9,909160
3.58,0.49,100,908292
3.65,0.45,99.9,909904
3.65,0.43,100,908524
3.69,0.44,100,910612
3.68,0.44,99.9,908776
3.62,0.43,100,907388
3.65,0.43,100,909072
3.71,0.43,100,903204
3.64,0.40,100,901500
3.63,0.46,99.9,897088
3.64,0.42,100.1,898712
3.62,0.57,99.9,899620
3.62,0.45,100,904204
3.65,0.43,100.1,902696
3.65,0.45,100,904308
3.63,0.42,100.1,903984
3.73,0.42,99.9,903472
3.79,0.46,100,896684
3.74,0.58,100,893508
3.67,0.41,97.9,892844
3.61,0.40,100,892828
3.53,0.41,100,891972
3.61,0.40,99.9,889916
3.56,0.38,99.9,891600
3.61,0.57,100,891080
3.65,0.42,100,889732
3.48,0.49,99.9,888360
3.49,0.48,99.9,881000
3.48,0.49,100,877892
3.67,0.41,100,877744
3.59,0.43,99.9,878332
3.51,0.40,100.1,881664
3.48,0.44,100,880392
3.52,0.42,100,876476
3.54,0.59,100,875728
3.58,0.60,100,865192
3.56,0.43,100,859576
3.49,0.41,100,863456
3.48,0.47,100,865776
3.52,0.40,100,866264
3.57,0.38,100,866084
3.47,0.57,100,876308
3.50,0.40,100.1,878448
3.56,0.47,100,872204
3.55,0.50,100,864172
3.53,0.50,100,860188
3.47,0.60,100,860176
3.54,0.52,100,859560
3.52,0.50,99.9,857560
3.55,0.38,100.1,858592
3.53,0.41,100,858124
3.62,0.50,100.1,849216
3.62,0.45,99.2,850812
3.58,0.41,100.1,858440
3.56,0.41,99.9,850900
3.54,0.41,99.9,839508
3.54,0.47,100,822080
3.53,0.60,100,826744
3.58,0.60,100,820656
3.55,0.59,100,803392
3.56,0.62,100,797180
3.68,0.55,100,796312
3.66,0.51,100,796444
3.65,0.52,100.1,808212
3.75,0.46,100,790380
3.67,0.53,100.1,708456
3.81,0.54,99.9,665360
3.64,0.45,100,697708
3.61,0.50,100,750236
3.64,0.43,100,774652
3.64,0.43,100,775728
3.65,0.43,100,775380
3.71,0.42,100,797676
3.65,0.42,99.9,798880
3.64,0.43,100,797840
3.63,0.44,100,796584
3.68,0.43,100,797780
3.69,0.43,99.9,799156
3.71,0.44,99.9,800164
3.64,0.44,100,799424
3.65,0.43,100,799140
3.68,0.42,100,798536
3.62,0.44,100,797884
3.64,0.44,100,797328
3.64,0.42,100,798128
3.63,0.41,99.9,798340
3.73,0.43,100,796080
3.66,0.40,100,795584
3.62,0.43,100,797816
3.70,0.42,100,797536
3.69,0.40,100,796304
3.63,0.41,100,796356
3.72,0.44,100,795888
3.58,0.41,100,795864
3.65,0.40,99.9,795948
3.53,0.40,100,794944
3.51,0.40,100,791400
3.55,0.39,100,791616
3.50,0.39,100,790656
3.52,0.38,100,790388
3.52,0.39,100,790320
3.53,0.39,100,791060
3.51,0.38,100,790488
3.60,0.39,100,790036
3.51,0.39,100,788672
3.57,0.39,100,788788
3.58,0.40,99.9,789216
3.64,0.40,100,788208
3.51,0.38,100,787736
3.52,0.38,100,786968
3.59,0.40,100,787952
3.52,0.39,100,787512
3.64,0.40,100,787960
3.55,0.39,100,788820
3.62,0.39,100,790308
3.52,0.39,100,786428
3.53,0.39,100,788944
3.54,0.43,100,789936
3.56,0.39,100,789800
3.55,0.40,100,789596
3.54,0.47,100,716176
3.59,0.42,100,680820
3.57,0.44,100.1,681284
3.54,0.43,99.9,680852
3.59,0.43,100,679564
3.61,0.42,100,827564
3.55,0.43,99.9,783640
3.49,0.48,100,784308
3.62,0.42,100,785248
3.73,0.42,100,784768
3.55,0.42,100,781836
3.62,0.38,100,780376
3.63,0.43,100,775420
3.64,0.39,100,777216
3.76,0.40,100,775784
3.83,0.42,100,779400
3.80,0.43,100,777760
3.82,0.42,100,779152
3.79,0.42,100,778640
3.82,0.42,100,778460
3.82,0.42,99.9,779316
3.64,0.41,100.1,779696
3.69,0.44,100,780556
3.65,0.43,100,780224
3.73,0.44,100,779044
3.67,0.43,100,779552
3.64,0.43,100,777928
3.64,0.42,100,779060
3.62,0.45,100,777860
3.63,0.44,100,779560
3.65,0.42,100,777996
3.67,0.44,100,778536
3.73,0.49,100,779932
3.71,0.43,100,779964
3.74,0.44,100,780732
3.68,0.41,99.9,781632
3.67,0.43,100,781212
3.65,0.42,100,781688
3.73,0.39,100,781432
3.65,0.41,100,781920
3.68,0.41,100,782156
3.61,0.44,100.1,780724
3.55,0.43,99.9,777492
3.58,0.41,99.9,774116
3.61,0.41,100,771004
3.51,0.39,100,770844
3.51,0.38,100,770812
3.52,0.39,100,770736
3.52,0.38,99.3,770128
3.54,0.39,100,770868
3.62,0.39,100,770596
3.52,0.38,100.1,770156
3.51,0.38,100,770312
3.52,0.39,100,770164
3.57,0.39,100,769436
3.53,0.38,99.9,770180
3.47,0.39,100,767448
3.50,0.38,99.9,766852
3.52,0.39,100,767572
3.50,0.38,100,766668
3.58,0.39,99.9,766548
3.62,0.40,100,766372
3.54,0.39,99.9,768056
3.61,0.39,100,767560
3.53,0.38,99.9,765792
3.58,0.39,100,766204
3.62,0.44,100,767816
3.62,0.42,100,768320
3.54,0.38,100,767316
3.54,0.38,100,766080
3.56,0.38,100,765708
3.56,0.38,100,768376
3.55,0.41,100,767692
3.56,0.38,100,767048
3.60,0.38,100,765936
3.58,0.39,100,767396
3.64,0.39,100,766552
3.59,0.39,100,767480
3.61,0.38,100,766636
3.60,0.39,100,766708
3.64,0.41,100,767068
3.64,0.43,100,764452
3.71,0.41,100,763824
3.93,0.44,99.9,762392
3.78,0.42,100,763444
3.81,0.42,100,762228
3.83,0.42,100,762612
3.82,0.42,100,762340
3.90,0.42,99.9,763420
3.64,0.42,100,762788
3.72,0.43,100,763196
3.64,0.43,100,762588
3.72,0.44,99.9,761872
3.75,0.44,100,763272
3.64,0.41,100,762356
3.71,0.45,100,762052
3.64,0.42,99.9,762080
3.65,0.41,99.9,764120
3.64,0.41,99.9,761556
3.63,0.45,100,760744
3.65,0.42,100,760192
3.73,0.42,100,760556
3.67,0.46,100,761496
3.69,0.41,100,763332
3.62,0.44,100,761768
3.73,0.40,100,761372
3.72,0.39,100,760524
3.72,0.41,100,761744
3.63,0.42,100,761164
3.65,0.40,99.3,760724
3.57,0.38,100,760128
3.58,0.39,99.9,758912
3.52,0.38,100,758252
3.56,0.39,100,757924
3.49,0.38,100,757828
3.54,0.38,100,758192
3.60,0.39,100,758684
3.58,0.39,100,757328
3.53,0.40,100,757640
3.57,0.39,100,757880
3.52,0.38,100,757224
3.53,0.38,100,756972
3.54,0.38,100,756640
3.52,0.38,99.9,755264
3.57,0.39,99.9,754012
3.51,0.38,99.9,753864
3.52,0.38,100,753248
3.50,0.38,100,753920
3.52,0.38,100,752732
3.62,0.39,99.9,745344
3.66,0.44,100,664480
3.55,0.40,100,676588
3.54,0.39,100,675636
3.55,0.39,100,676612
3.52,0.49,100,698332
3.53,0.42,100,710536
3.52,0.41,99.9,731172
3.53,0.42,100,797876
3.62,0.42,100,788056
3.58,0.40,100,801140
3.55,0.41,100.1,802608
3.60,0.39,100,801568
3.55,0.38,99.9,798256
3.56,0.42,100,790816
3.63,0.44,100,802632
3.64,0.40,100,803124
3.60,0.39,100,801840
3.76,0.40,100,801876
3.64,0.39,99.9,801864
3.63,0.39,99.9,801440
3.68,0.43,100,800504
3.85,0.43,100,798444
3.81,0.44,100,798796
3.84,0.44,99.9,798504
3.81,0.43,100,798636
3.83,0.44,100.1,799024
3.85,0.45,100,798504
3.65,0.43,100.1,795388
3.61,0.45,99.9,794900
3.76,0.44,100,793528
3.64,0.43,99.9,792088
3.63,0.43,100,794540
3.68,0.44,100.1,794520
3.64,0.42,100,792320
3.63,0.45,100,793472
3.62,0.44,100,794616
3.65,0.41,100,793108
3.67,0.45,100,792232
3.67,0.43,100,790100
3.64,0.41,100,790380
3.69,0.45,100,793276
3.70,0.42,100.1,794000
3.73,0.41,100.1,793592
3.64,0.40,100,799176
3.68,0.41,100,800824
3.64,0.40,100,813936
3.61,0.46,100,818872
3.71,0.42,100,817004
3.58,0.43,99.9,813364
3.52,0.39,100,810768
3.63,0.40,100,806208
3.56,0.39,100,808096
3.51,0.39,99.9,807796
3.52,0.40,100,807580
3.53,0.39,100,811636
3.55,0.40,100.1,811540
3.60,0.41,99.9,811680
3.54,0.40,100,811200
3.52,0.39,100,810288
3.52,0.40,100,810100
3.56,0.40,100.1,808968
3.53,0.38,100,809100
3.61,0.40,100,808736
3.53,0.39,100,808256
3.53,0.39,100,807684
3.51,0.38,100,809520
3.51,0.40,100,807524
3.54,0.40,100,807468
3.52,0.38,100,809696
3.53,0.39,100,807424
3.58,0.41,100,806452
3.56,0.39,100,808500
3.57,0.43,99.9,809280
3.57,0.39,100,808112
3.56,0.38,100,807424
3.64,0.39,100,806208
3.64,0.41,100,808468
3.58,0.39,100,808096
3.56,0.40,99.9,805496
3.68,0.39,100,805164
3.57,0.39,100,804984
3.58,0.38,100,806300
3.59,0.41,100,806404
3.73,0.40,100,807024
3.60,0.39,100,804584
3.71,0.40,100,805372
3.67,0.39,100,804508
3.62,0.43,100,804616
3.63,0.49,100,734068
3.80,0.46,99.9,712848
3.76,0.46,99.9,712360
3.85,0.45,100,693608
3.90,0.47,99.9,693376
3.81,0.45,100,835972
3.64,0.51,100,801504
3.68,0.48,100,799884
3.79,0.44,100,800664
3.63,0.44,100,802008
3.77,0.45,100,800644
3.70,0.43,100,801264
3.77,0.44,100,801428
3.63,0.42,100,800912
3.72,0.45,100,800936
3.63,0.45,100,800048
3.68,0.42,100,800296
3.62,0.45,99.9,800892
3.63,0.45,100,800216
3.64,0.42,100,798416
3.76,0.45,100,800008
3.65,0.46,100,800248
3.73,0.43,100,799824
3.74,0.41,99.9,798856
3.67,0.42,100,801248
3.64,0.39,100,800864
3.68,0.39,100,796888
3.68,0.40,100,795452
3.66,0.43,100,797180
3.56,0.38,100,795868
3.52,0.39,99.9,795052
3.63,0.40,100,795300
3.52,0.39,99.3,795760
3.58,0.40,100,795248
3.53,0.39,100.1,794876
3.56,0.39,99.3,796168
3.53,0.39,99.9,795000
3.51,0.39,100,796836
3.51,0.40,100,792932
3.55,0.39,100,792520
3.53,0.40,100,792824
3.58,0.41,100,792544
3.53,0.38,100,793920
3.48,0.39,100,793148
3.56,0.41,99.9,791948
3.49,0.39,100,791128
3.53,0.39,100,791756
3.53,0.39,100,790204
3.56,0.40,100,790824
3.63,0.39,99.9,791392
3.54,0.40,100,790452
3.54,0.40,100,789600
3.57,0.41,100,791716
3.74,0.41,99.9,791476
3.56,0.40,100,791056
3.56,0.39,100,789504
3.56,0.39,99.9,789556
3.58,0.40,100,789032
3.56,0.40,100,789204
3.56,0.38,100,788980
3.56,0.38,100,786972
3.58,0.39,100,787600
3.59,0.39,100,788728
3.68,0.44,100,786680
3.62,0.39,100,787252
3.65,0.38,100,786724
3.65,0.42,100,787104
3.66,0.38,99.9,786068
3.70,0.40,100,786072
3.75,0.45,100,786220
3.79,0.43,99.9,786180
3.80,0.42,100,785720
3.82,0.42,100,785048
3.85,0.43,100,785532
3.57,0.43,100,784740
3.75,0.44,100,783748
3.63,0.44,100,786800
3.68,0.43,99.9,785888
3.64,0.43,100,784052
3.64,0.43,100,784808
3.66,0.43,100,785332
3.63,0.42,100,785360
3.63,0.43,100,784292
4.03,0.44,100,784856
3.73,0.43,100,784004
3.72,0.48,100,783416
3.66,0.45,100,782508
3.65,0.42,100,782644
3.69,0.47,100,782176
3.63,0.43,100,783532
3.62,0.43,100,784180
3.75,0.42,100,783996
3.69,0.40,100,782880
3.71,0.41,100.1,782008
3.64,0.40,100,781516
3.61,0.43,100,781928
3.64,0.44,100,782756
3.53,0.39,100,781740
3.56,0.40,99.9,781144
3.56,0.40,100,780604
3.61,0.40,99.9,780812
3.55,0.40,99.9,781432
3.53,0.39,100,780584
3.52,0.40,100,777932
3.52,0.39,100,778224
3.54,0.40,100,777988
3.51,0.39,100,777716
3.52,0.39,100,777980
3.55,0.40,100,777120
3.63,0.41,100,778748
3.59,0.40,100,776928
3.54,0.39,99.9,775524
3.50,0.40,100,774748
3.53,0.39,100.1,771288
3.52,0.40,100,770712
3.57,0.41,100,771120
3.53,0.39,100,769456
3.53,0.40,100,769712
3.58,0.40,100,773060
3.60,0.39,100,774872
3.55,0.42,100,771828
3.62,0.40,100,771668
3.69,0.39,100,771404
3.55,0.39,100,769760
3.55,0.39,100,771160
3.57,0.39,100,771084
3.70,0.41,100,771280
3.62,0.41,100,770092
3.64,0.40,100,769784
3.59,0.39,99.9,769576
3.66,0.41,100,770864
3.60,0.38,99.9,771616
3.61,0.38,99.9,771156
3.65,0.40,100,770484
3.71,0.42,99.9,770872
3.78,0.41,100,769544
3.75,0.42,100,768592
3.92,0.42,99.9,768204
3.83,0.42,100,767948
3.99,0.46,99.9,768276
3.81,0.44,100,768124
3.81,0.43,100,768644
3.66,0.44,100,767772
3.63,0.43,100,768040
3.68,0.43,100,768264
3.67,0.44,100,767320
3.67,0.43,99.9,767216
3.69,0.43,100,766908
3.75,0.45,100.1,767172
3.62,0.45,100,766524
3.74,0.46,100,766784
3.69,0.43,99.9,767892
3.64,0.41,99.9,766568
3.64,0.45,100,766852
3.66,0.47,100,766800
3.63,0.44,100,766692
3.74,0.42,100,765336
3.71,0.46,100,768240
3.72,0.42,99.9,768500
3.64,0.39,100.1,767204
3.63,0.40,99.9,767072
3.77,0.41,100,767188
3.65,0.40,100,766212
3.63,0.43,100,766212
3.56,0.41,100,764972
3.55,0.39,100,764136
3.55,0.41,99.9,763532
3.54,0.39,100,763720
3.50,0.38,100,764112
3.57,0.40,100,763980
3.54,0.39,100,764156
3.56,0.40,100,762868
3.52,0.38,100,763804
3.55,0.41,100,762460
3.62,0.41,100,761296
3.52,0.40,100,761244
3.60,0.40,100,761124
3.48,0.40,100,762036
3.57,0.39,100,760816
3.53,0.39,100,760256
3.48,0.39,99.9,760504
3.51,0.39,99.9,760512
3.66,0.41,100,759784
3.59,0.41,99.9,759692
3.65,0.40,100,759784
3.63,0.40,99.9,759528
3.71,0.42,100,759916
3.57,0.40,100,761264
3.61,0.42,100,757924
3.71,0.44,100,747896
3.55,0.41,100,737552
3.55,0.41,100,745152
3.53,0.43,100,721856
3.59,0.42,99.9,719316
3.65,0.41,100,718524
3.61,0.41,100,743812
3.60,0.39,99.9,740764
3.69,0.40,100,741680
3.59,0.42,100,744260
3.59,0.38,100,745672
3.59,0.38,100,745184
3.63,0.39,100,741532
3.60,0.41,99.9,740340
3.70,0.38,99.9,740644
3.70,0.42,100,743244
3.89,0.44,100.1,742068
3.82,0.42,100,741076
3.83,0.43,100,739428
3.81,0.43,100,738140
3.88,0.43,100,738068
3.66,0.44,100,738400
3.63,0.43,100,740720
3.65,0.45,100,742324
3.62,0.44,100,740228
