CPU(J),RAM(J),%CPU,RAM(kB)
0.12,0.32,2.1,5100792
0.02,0.32,2.8,5100840
3.50,0.68,94.3,4983272
0.11,0.32,1.4,5095912
0.02,0.32,0.7,5096408
