CPU(J),RAM(J),%CPU,RAM(kB)
3.19,0.37,76.4,3871796
2.08,0.33,29.7,3872556
2.10,0.33,25.4,3872912
3.46,0.41,100,3870140
3.49,0.41,100,3872148
3.47,0.40,100,3872548
3.48,0.40,100,3872168
3.49,0.45,100,3871668
3.54,0.42,100,3872768
3.55,0.41,100,3873112
3.51,0.45,100,3872736
3.53,0.41,100,3872792
3.49,0.42,100,3872252
3.49,0.41,100,3872132
3.62,0.41,100,3872500
3.60,0.42,100,3872252
3.47,0.41,100,3872068
3.47,0.41,99.9,3871240
3.59,0.42,100.1,3871028
3.48,0.40,99.9,3872044
3.60,0.41,100,3872176
3.46,0.40,100,3871500
3.58,0.42,100,3871872
3.52,0.40,100,3870852
3.48,0.43,100,3871144
3.52,0.41,100,3870632
3.47,0.41,100,3871140
3.52,0.40,100,3872492
3.51,0.41,99.9,3871036
3.47,0.44,100,3871268
3.44,0.40,100,3871520
3.43,0.40,100,3870764
3.50,0.40,100,3868704
3.45,0.39,100,3869100
3.44,0.40,100,3867680
3.43,0.40,99.9,3864652
3.44,0.40,100.1,3864572
3.49,0.40,100,3862648
3.43,0.40,99.9,3863264
3.44,0.40,100,3864152
3.48,0.41,100,3863632
3.43,0.41,100,3863640
3.45,0.41,100,3863152
3.43,0.41,99.9,3863020
3.45,0.39,100,3862936
3.43,0.40,100,3863308
3.44,0.40,100,3862688
3.47,0.42,100,3863052
3.44,0.39,100,3862636
3.43,0.39,100,3863108
3.43,0.39,99.9,3863232
3.42,0.38,100,3862772
3.44,0.38,99.3,3862808
3.45,0.38,100.1,3861968
3.42,0.39,83.2,3861820
3.30,0.41,77.4,3858076
3.23,0.38,76.2,3854000
3.22,0.37,79.9,3849404
3.21,0.37,77.5,3849748
3.18,0.37,76.8,3849372
3.18,0.37,79.6,3848900
3.20,0.37,77.4,3849760
3.21,0.39,79.2,3851140
3.21,0.38,77.2,3851200
3.18,0.37,79.2,3851064
3.19,0.37,76.4,3850768
3.20,0.36,77.4,3851280
3.19,0.37,77.9,3850952
3.18,0.37,77.5,3850644
3.19,0.37,77.7,3850644
3.24,0.39,76.4,3850396
3.19,0.37,82.6,3851248
3.19,0.37,76.9,3850512
3.18,0.36,76.7,3850760
3.18,0.37,76.7,3850760
3.19,0.37,77.5,3850272
2.97,0.35,51.9,3850768
2.96,0.36,51.4,3850768
2.95,0.33,54.8,3851016
2.95,0.34,51.4,3851760
2.16,0.34,26.4,3851272
2.04,0.33,28.1,3851396
2.08,0.33,50.4,3840936
2.10,0.32,55.9,3839480
3.55,0.41,99.9,3840520
3.54,0.41,100,3840096
3.53,0.41,100,3839888
3.64,0.44,100,3840800
3.58,0.42,100,3840056
3.58,0.43,100,3840220
3.50,0.41,100,3839840
3.56,0.41,100,3839536
3.53,0.42,99.9,3839440
3.58,0.42,100,3840060
3.60,0.43,100,3833200
3.60,0.42,99.9,3825272
3.54,0.44,99.9,3823668
3.52,0.42,100,3826892
3.57,0.42,100,3827900
3.54,0.42,100,3827480
3.53,0.44,99.9,3826892
3.57,0.42,100,3827032
3.58,0.42,99.9,3827652
3.59,0.41,99.9,3827768
3.61,0.47,100,3826500
3.57,0.43,100,3826832
3.51,0.42,99.9,3826776
3.53,0.41,100,3827292
3.53,0.43,100,3827312
3.53,0.42,99.9,3827560
3.68,0.46,100,3827140
3.52,0.42,100,3827272
3.52,0.42,100,3828080
3.51,0.43,100.1,3823816
3.59,0.43,99.9,3820716
3.51,0.42,100,3816664
