CPU(J),RAM(J),%CPU,RAM(kB)
3.42,0.61,100,4505772
3.21,0.32,99.9,4423016
3.16,0.32,100,4339184
3.21,0.32,100,4255112
3.24,0.33,100,4362108
3.28,0.40,100,4452044
3.32,0.40,100,4500156
3.23,0.32,100,4459476
3.32,0.36,100,4387920
3.33,0.48,100.1,4276816
3.23,0.35,100,4372288
3.25,0.35,100,4375404
3.37,0.45,100,4545656
2.76,0.32,25.7,4545516
