CPU(J),RAM(J),%CPU,RAM(kB)
3.26,0.36,100,4769316
3.30,0.34,100,4768456
3.39,0.36,99.9,4767928
3.35,0.38,99.9,4768952
3.23,0.33,100,4768944
3.24,0.32,100,4769060
3.38,0.40,100,4769052
3.30,0.32,100,4768688
3.24,0.32,100,4769184
3.28,0.39,99.9,4768556
3.27,0.32,100,4768716
3.22,0.31,100,4769308
3.26,0.35,100,4769068
3.38,0.33,100,4768820
3.40,0.39,100,4768992
3.22,0.38,100,4768808
3.25,0.34,99.9,4768836
3.26,0.32,100,4768464
3.20,0.36,100,4768932
3.26,0.32,100,4769340
3.28,0.36,100,4769132
3.24,0.35,99.9,4768992
3.25,0.32,100,4769272
3.26,0.32,99.9,4768528
3.26,0.36,99.9,4768616
3.47,0.37,100,4768264
3.38,0.36,0,4768812
3.31,0.33,100,4768636
3.24,0.33,100,4768488
3.26,0.36,99.9,4769092
3.29,0.35,100,4768752
3.22,0.31,100,4768644
3.30,0.33,99.9,4768512
3.22,0.32,100,4768892
3.27,0.32,100,4769004
3.31,0.38,99.9,4767884
3.35,0.36,100,4768148
3.36,0.36,100,4768256
3.44,0.37,100,4767660
3.26,0.32,100,4764164
3.22,0.36,100,4670604
3.25,0.37,100,4660480
3.25,0.39,100,4660100
3.30,0.38,100,4659844
3.37,0.38,100,4801120
3.19,0.44,99.9,4766464
3.20,0.40,100,4766888
3.23,0.35,99.9,4767396
3.26,0.32,100,4767008
3.21,0.32,100,4767092
3.37,0.36,99.9,4767080
3.26,0.33,99.9,4767936
3.23,0.32,100,4767972
3.21,0.32,100,4767804
3.25,0.37,100,4767672
3.21,0.32,100,4767788
3.29,0.33,100,4767936
3.36,0.36,100,4767448
3.22,0.36,100,4767300
3.22,0.33,100,4767300
3.30,0.32,0,4767672
3.24,0.31,100,4767804
3.41,0.37,100,4767316
3.28,0.37,100.1,4765952
3.29,0.35,100,4766324
3.25,0.33,99.9,4766440
3.26,0.35,99.9,4765656
3.23,0.33,100,4765460
3.26,0.36,100,4766220
3.25,0.32,100,4766056
3.21,0.32,100,4766076
3.21,0.32,100,4765840
3.41,0.38,100,4765400
3.48,0.40,99.9,4766328
3.25,0.35,100,4766104
3.22,0.32,100,4766088
3.24,0.37,100,4765728
3.29,0.33,100,4766384
3.23,0.32,100,4765564
3.21,0.32,99.9,4765964
3.21,0.32,99.9,4766432
3.20,0.34,100.1,4766168
3.36,0.34,100,4765636
3.42,0.34,100,4765928
3.23,0.37,100,4766116
3.25,0.32,100,4766284
3.22,0.33,100,4765672
3.22,0.36,100,4766176
3.31,0.35,100,4766044
3.19,0.37,100,4766192
3.22,0.31,100,4766076
3.22,0.32,100,4766208
3.20,0.34,100,4765936
3.44,0.35,100,4765764
3.42,0.33,99.9,4765596
3.24,0.35,100,4765644
3.22,0.31,100,4765836
3.23,0.32,100,4765704
3.22,0.33,100,4766156
3.29,0.32,100,4766084
3.24,0.33,100,4766140
3.22,0.33,100,4765736
3.27,0.33,100,4766216
3.21,0.36,100,4765572
3.29,0.36,100,4765868
3.40,0.36,99.9,4765224
3.29,0.38,100,4765572
3.29,0.32,100,4765712
3.27,0.32,100,4765644
3.27,0.33,99.9,4766084
3.22,0.31,99.9,4766200
3.22,0.31,100,4765184
3.26,0.37,99.9,4765728
3.26,0.32,100,4765324
3.25,0.36,100,4765752
3.25,0.35,100,4765248
3.39,0.34,99.9,4765432
3.39,0.37,100,4764812
3.28,0.35,100,4765896
3.26,0.32,100,4765736
3.32,0.38,100,4765480
3.25,0.32,99.9,4765604
3.22,0.31,99.9,4765352
3.30,0.35,100,4765828
3.26,0.32,100.1,4766292
3.31,0.33,100,4766520
3.23,0.34,100,4765568
3.40,0.33,100,4765716
3.40,0.34,100,4766240
3.23,0.36,99.9,4766092
3.28,0.35,0,4766364
3.23,0.32,100,4766232
3.23,0.32,100,4766272
3.21,0.32,100,4766440
3.21,0.35,100,4766224
3.42,0.36,100,4765968
3.22,0.31,0,4766152
3.26,0.35,100.1,4767300
3.25,0.32,100.1,4766672
3.48,0.34,100,4766260
3.37,0.36,99.9,4766160
3.23,0.31,100,4766668
3.22,0.31,100,4766280
3.29,0.32,100,4765412
3.21,0.38,100,4766088
3.22,0.32,100,4765924
3.22,0.39,100,4766268
3.28,0.38,100,4766632
3.25,0.32,100,4766408
3.20,0.37,100,4766008
3.28,0.40,100,4765736
3.42,0.37,100,4766300
3.35,0.33,100,4765804
3.26,0.32,100,4765720
3.30,0.32,99.9,4765900
