%CPU,Exhaustivo,Aleatorio,Evolutivo
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.2,99.2,,
100.0,100.0,,
99.4,99.4,,
100.1,100.1,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
0.0,0.0,,
100.0,100.0,,
99.2,99.2,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.2,99.2,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.3,99.3,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.1,100.1,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.3,99.3,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
99.9,99.9,,
100.1,100.1,,
99.9,99.9,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.1,100.1,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
100.0,100.0,,
99.9,99.9,,
100.0,100.0,,
