Exhaustivo,Aleatorio,Evolutivo
1.32605610860542,1.02033969553989,1.35504850911518
1.34364418664462,1.25483559612014,1.40789630442525
1.25833990622309,1.16005730700559,1.29878437785274
1.33085752404137,1.23921017785026,1.40080921999478
1.35622228459848,1.23232899291738,1.45804700924845
1.33017921322491,1.11140700089652,1.41711298581937
1.28062926020644,1.24547797046454,1.40839475347682
1.30491523029159,1.34827457593042,1.39738673576909
1.34190532746615,1.18127354767786,1.40096572821447
1.1497462958338,1.23173674557837,1.42412181358464
1.34372868873811,1.18151371698059,1.37932694739561
1.36439328187267,1.24754731429265,1.43981108384949
1.1963795082353,1.24548890532187,1.35909712765648
1.23748207043939,1.25434025104713,1.39818957475974
1.15624866230921,1.25197089964062,1.41012951369879
1.18390249830741,1.22090786043085,1.42077223101357
1.20191556756755,1.1400156283345,1.40891309515574
1.18037709346996,1.26182489186733,1.37521692943701
1.18954765337487,1.22514114381633,1.3749717525168
1.09838064543162,1.2130125651414,1.39440880542692
1.12137253859649,1.24820179516494,1.38202159788785
1.13522401959008,1.22246277544742,1.36460958655715
1.13069153036507,1.22873306820128,1.44281264399181
1.12460661271909,1.1028264728779,1.3838862781842
1.11519775179999,1.22458569295289,1.42477867678557
1.13109839080197,1.25718992552333,1.27718331451392
1.03580753065285,1.19590658236667,1.38887396043866
1.06217058196549,1.29497124319942,1.3928306474557
1.11751831441657,1.18820982938611,1.36308987072503
1.13890282341208,1.20096365231571,1.39522744456857
1.1399831360247,1.24626249863386,1.4190771736265
1.09340314748163,1.23358837393838,1.34782569355444
1.12753323004992,1.23476773705617,1.39048702884509
1.15258552309404,1.20642834030345,1.32465015637098
1.12829757860248,1.16359464410157,1.43608396299007
1.13173678534363,1.20215780447044,1.35271085651399
1.07761066304222,1.23104232266577,1.35676257604756
1.09929513587684,1.1062927221311,1.38948012218666
1.14569604692197,1.23609443477286,1.39144738988694
1.11542659328287,1.17125877858266,1.31051004518395
1.1515084006297,1.21250389142477,1.47160135283673
1.13799126459571,1.18990967702102,1.36388687297961
1.10988024924054,1.20628031364768,1.34784180411856
1.16244035180907,1.17961366794173,1.34659294701124
1.12197574655974,1.1797051160611,1.33680300444434
1.11907594712899,1.15009941114348,1.32820107908595
1.11165963645512,1.1664465301975,1.34786547563042
1.1349689360578,1.14183711244508,1.36125358153799
1.14599702612507,1.13659436201608,1.35250447626843
1.15328574641013,1.12868840459489,1.37361930116938
1.0271887619844,1.11455314751494,1.34857973904507
1.11146811556188,1.13874432993581,1.33078378531401
1.13746910261566,1.13769673109243,1.29763944230544
1.12564987663415,1.12372205162469,1.35880047454598
1.12533739874634,1.13364534738609,1.3633404347271
1.15847624120031,1.11541818551455,1.35993969840588
1.15945932504566,1.13869849015241,1.3340247548758
1.14954573326406,1.15091422351965,1.36937274924436
