CPU(J),Exhaustivo,Aleatorio,Evolutivo
3.81,3.81,,3.47
3.72,3.72,,3.47
3.85,3.85,,3.59
3.64,3.64,,3.48
3.64,3.64,,3.6
3.64,3.64,,3.46
3.6,3.6,,3.58
3.6,3.6,,3.52
3.65,3.65,,3.48
3.7,3.7,,3.52
3.62,3.62,,3.47
3.6,3.6,,3.52
3.57,3.57,,3.51
3.63,3.63,,3.47
3.58,3.58,,3.44
3.67,3.67,,3.43
3.56,3.56,,3.5
3.54,3.54,,3.45
3.61,3.61,,3.44
3.48,3.48,,3.43
3.42,3.42,,3.44
3.42,3.42,,3.49
3.46,3.46,,3.43
3.44,3.44,,3.44
3.43,3.43,,3.48
3.44,3.44,,3.43
3.5,3.5,,3.45
3.49,3.49,,3.43
3.45,3.45,,3.45
3.43,3.43,,3.43
3.5,3.5,,3.44
3.47,3.47,,3.47
3.43,3.43,,3.44
3.47,3.47,,3.43
3.41,3.41,,3.43
3.37,3.37,,3.42
3.38,3.38,,3.44
3.44,3.44,,3.45
3.45,3.45,,3.42
3.52,3.52,,3.3
3.45,3.45,,3.23
3.47,3.47,,3.22
3.47,3.47,,3.21
3.51,3.51,,3.18
3.51,3.51,,3.18
3.56,3.56,,3.2
3.71,3.71,,3.21
3.54,3.54,,3.21
3.65,3.65,,3.18
3.54,3.54,,3.19
3.57,3.57,,3.2
3.56,3.56,,3.19
3.63,3.63,,3.18
3.57,3.57,,3.19
3.62,3.62,,3.24
3.61,3.61,,3.19
3.61,3.61,,3.19
3.66,3.66,,3.18
3.63,3.63,,3.18
3.65,3.65,,3.19
3.71,3.71,,2.97
3.82,3.82,,2.96
3.78,3.78,,2.95
3.77,3.77,,2.95
3.82,3.82,,2.16
3.87,3.87,,2.04
3.78,3.78,,2.08
3.91,3.91,,2.1
3.68,3.68,,3.55
3.54,3.54,,3.54
3.52,3.52,,3.53
3.59,3.59,,3.64
3.56,3.56,,3.58
3.69,3.69,,3.58
3.62,3.62,,3.5
3.64,3.64,,3.56
3.63,3.63,,3.53
3.71,3.71,,3.58
3.67,3.67,,3.6
3.69,3.69,,3.6
3.68,3.68,,3.54
3.67,3.67,,3.52
3.6,3.6,,3.57
3.63,3.63,,3.54
3.78,3.78,,3.53
3.64,3.64,,3.57
3.71,3.71,,3.58
3.52,3.52,,3.59
3.68,3.68,,3.61
3.64,3.64,,3.57
3.58,3.58,,3.51
3.55,3.55,,3.53
3.5,3.5,,3.53
3.62,3.62,,3.53
3.48,3.48,,3.68
3.58,3.58,,3.52
3.53,3.53,,3.52
3.55,3.55,,3.51
3.5,3.5,,3.59
3.49,3.49,,3.51
3.5,3.5,,3.51
3.53,3.53,,3.55
3.51,3.51,,3.56
3.65,3.65,,3.55
3.53,3.53,,3.53
3.54,3.54,,3.58
3.54,3.54,,3.67
3.47,3.47,,3.52
3.43,3.43,,3.58
3.48,3.48,,3.53
3.53,3.53,,3.54
3.51,3.51,,3.56
3.52,3.52,,3.58
3.57,3.57,,3.55
3.54,3.54,,3.6
3.46,3.46,,3.54
3.51,3.51,,3.52
3.51,3.51,,3.5
3.5,3.5,,3.51
3.6,3.6,,3.5
3.58,3.58,,3.56
3.54,3.54,,3.61
3.61,3.61,,3.62
3.54,3.54,,3.59
3.53,3.53,,3.19
3.62,3.62,,3.18
3.68,3.68,,3.17
3.58,3.58,,3.23
3.6,3.6,,3.16
3.72,3.72,,3.14
3.63,3.63,,3.2
3.58,3.58,,3.2
3.56,3.56,,3.24
3.56,3.56,,3.17
3.63,3.63,,3.22
3.61,3.61,,3.17
3.6,3.6,,3.19
3.62,3.62,,3.17
3.68,3.68,,3.15
3.81,3.81,,3.19
3.58,3.58,,3.2
3.55,3.55,,3.29
3.56,3.56,,2.1
3.57,3.57,,2.1
3.55,3.55,,2.09
3.6,3.6,,2.07
3.56,3.56,,2.09
3.55,3.55,,2.12
3.57,3.57,,3.54
3.57,3.57,,3.48
3.6,3.6,,3.43
3.65,3.65,,3.44
3.59,3.59,,3.44
3.62,3.62,,3.45
3.64,3.64,,3.44
3.68,3.68,,3.53
3.53,3.53,,3.43
3.55,3.55,,3.45
3.76,3.76,,3.41
3.53,3.53,,3.49
3.61,3.61,,3.49
3.55,3.55,,3.52
3.56,3.56,,3.5
